0.000000000000000000e+00,1.570796326794896558e+00,0.000000000000000000e+00,4.264712027248137444e-02,0.000000000000000000e+00,-3.555497485700248594e-01
-5.242387617951333680e-18,1.504939299348345472e+00,4.908028641099366565e-18,5.364859084937225603e-02,6.689288590331835693e-18,-3.496893851635332617e-01
-5.058429834235786672e-18,1.604939299348345561e+00,5.234156654583005818e-18,6.159296990339645922e-02,-4.559655836625365861e-17,-3.304115275072727065e-01
-4.860309952316073057e-18,1.704939299348345427e+00,5.560284668066645071e-18,6.936005016329842288e-02,-4.206420922685418976e-17,-3.095989367752103871e-01
-4.647523928470613611e-18,1.804939299348345294e+00,5.886412681550285865e-18,7.696420809805391838e-02,-4.086005283084827868e-17,-2.871869199266834927e-01
-5.547900055011040698e-18,1.904939299348346049e+00,7.798721298021310549e-18,8.527593756615199638e-02,-4.279638968068759762e-17,-2.624965824229184008e-01
-1.552583268094759071e-17,1.988044216313140877e+00,2.386505225536277354e-17,9.413535904932941734e-02,-2.938558309198384325e-17,-2.374916614624242861e-01
-1.544277048331653993e-17,2.016078973043960332e+00,2.448137666773799615e-17,1.009956162581815836e-01,-3.106461759181412201e-17,-2.178915151091765923e-01
-2.041274599506034550e-17,1.999431471374625291e+00,3.177110012192377963e-17,1.047819352610969007e-01,-2.495240325070519405e-17,-2.030154733666048872e-01
-2.478001807665253520e-17,1.945908729553607941e+00,3.638911412575505566e-17,1.045943971530419736e-01,-1.732917725567112812e-17,-1.920927340745424428e-01
-2.322191467701599400e-17,1.861975587743938121e+00,3.120192329787448477e-17,9.979839849957172770e-02,-1.970283536730854522e-17,-1.844254338631911294e-01
-2.651060458754194370e-17,1.769723673378035711e+00,3.238830168321833524e-17,9.233540787948590900e-02,-1.867643044597271772e-17,-1.767420903301016311e-01
-2.478736714420691376e-17,1.707914849493871845e+00,2.844249585010958235e-17,8.861259143972981256e-02,-2.461647476107737082e-17,-1.645145612561099147e-01
-2.062913431978305602e-17,1.662183366286475339e+00,2.260607949390239354e-17,8.687202935073118359e-02,-3.033595029583803655e-17,-1.513395329154375302e-01
-2.096965027318785009e-17,1.627162800082954108e+00,2.218624521712485012e-17,8.663792165932117373e-02,-3.100257515958027187e-17,-1.378127400920539092e-01
-2.335083811917975331e-17,1.599268986580683949e+00,2.402534668396447775e-17,8.755140660647875439e-02,-2.803843585760556640e-17,-1.243349811035862201e-01
-2.735986608064245230e-17,1.576066433996054839e+00,2.750443679408519891e-17,8.933161597221696282e-02,-2.265271623413173914e-17,-1.111796605438059027e-01
-6.372099239541667607e-17,1.555956358077689394e+00,6.278232255062081724e-17,9.176351930846876614e-02,2.298433899523244795e-17,-9.852441881717327599e-02
-4.317446798571768673e-17,1.537981413681308362e+00,4.178044878512757285e-17,9.469287780504076490e-02,-8.118028569331375088e-18,-8.647128217030888853e-02
-3.665428896452097916e-17,1.521678498325052864e+00,3.489672049220225184e-17,9.802168638977540316e-02,-2.044097057350992395e-17,-7.506325103964024692e-02
-3.687037523853114653e-17,1.504428973252547541e+00,3.450113636865642536e-17,1.012806458207094612e-01,-1.756863531628122031e-17,-6.493564959270507753e-02
-3.180639990390947608e-17,1.476787334603569368e+00,2.894853953949092663e-17,1.029626153867029548e-01,-2.426533906416427361e-17,-5.840692620306634636e-02
